სცხელა	სცხელოდა	V;ARGSU3S;IPFV;MID;IND;IPFV
სიტყვა	სიტყვით	N;INS;INAN;SG
სიტყვა	სიტყვებს	N;DAT;PL;INAN
სიტყვა	სიტყვა	N;NOM;INAN;SG
სიტყვაკაზმული	სიტყვაკაზმულ	ADJ;DAT;SG
სიტყვიერი	სიტყვიერი	ADJ;GEN;SG
სიღრმე	სიღრმე	N;DAT;INAN;SG
სიყვარული	სიყვარულითა	N;INS;INAN;SG
სიცილ-კისკისი	სიცილ-კისკისით	N;INS;INAN;SG
სიცოცხლე	სიცოცხლეს	N;DAT;INAN;SG
სიცოცხლე	სიცოცხლის	N;GEN;INAN;SG
სკოლა	სკოლის	N;GEN;INAN;SG
სოლიდარობა	სოლიდარობის	N;GEN;INAN;SG
სომხური	სომხურ	ADJ;DAT;SG
სოფელი	სოფლები	N;PL;OM;INAN;N
სოციალიზმი	სოციალიზმისა	N;GEN;INAN;SG
სოციალიზმი	სოციალიზმის	N;GEN;INAN;SG
სპეტაკი	სპეტაკი	ADJ;NOM;SG
სპეციალისტი	სპეციალისტების	N;PL;GEN;ANIM
სპეციალური	სპეციალურად	ADV
სპორტული	სპორტულ	ADJ;DAT;SG
სრული	სრულებითაც	ADJ;INS;PL
სრული	სრული	ADJ;GEN;SG
სრული	სრულ	ADJ;DAT;SG
სრულიად	სრულიად	ADV
სტადია	სტადია	N;NOM;INAN;SG
სტრატეგიული	სტრატეგიული	ADJ;GEN;SG
სტრუქტურა	სტრუქტურების	N;PL;GEN;INAN
სულ	სულ	ADV
სულაც	სულაც	ADV
სული	სული	N;NOM;INAN;SG
სული	სულმა	N;ERG;INAN;SG
სულიერება	სულიერებადა	N;FRML;INAN;SG
სულიერება	სულიერების	N;GEN;INAN;SG
სუნთქავს	ჩავისუნთქე	V;ARGOB3;ARGSU1S;PST;ACT;PFV;IND
სურათი	სურათი	N;NOM;INAN;SG
სურვილი	სურვილებ	N;DAT;PL;INAN
სუსტი	სუსტ	ADJ;DAT;SG
სწავლა	სწავლის	N;GEN;INAN;SG
სწავლება	სწავლების	N;GEN;INAN;SG
სწავლება	სწავლებისა	N;GEN;INAN;SG
სწამებს	სწამებენ	V;ARGIO3S;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
სწორედ	სწორედ	ADV
სწორი	სწორი	ADJ;GEN;SG
სწრაფვა	სწრაფვამ	N;ERG;INAN;SG
სხვა	სხვა	N;PRO;OM;SG
სხვა	სხვათა	PRO;PL;DAT
სხივი	სხივები	N;PL;OM;INAN;N
სხივი	სხივებით	N;INS;PL;INAN
ტარდება	ჩატარდა	V;ARGSU3S;PST;ACT;PFV;IND
ტემპი	ტემპებ	N;DAT;PL;INAN
ტერიტორია	ტერიტორია	N;DAT;INAN;SG
ტერიტორიული	ტერიტორიული	ADJ;GEN;SG
ტესტი	ტესტი	N;NOM;INAN;SG
ტესტი	ტესტის	N;GEN;INAN;SG
ტესტი	ტესტს	N;DAT;INAN;SG
ტესტი	ტესტ	N;DAT;INAN;SG
ტექნიკა	ტექნიკით	N;INS;INAN;SG
ტექსტი	ტექსტების	N;PL;GEN;INAN
ტვირთი	ტვირთის	N;GEN;INAN;SG
ტიპური	ტიპური	ADJ;NOM;SG
ტკივილი	ტკივილის	N;GEN;INAN;SG
ტრანსპორტი	ტრანსპორტი	N;NOM;INAN;SG
ტრიმესტრი	ტრიმესტრის	N;GEN;INAN;SG
ტყუილი	ტყუილად	ADV
უ/მტკიცდება	დამტკიცებულიყო	V;ARGSU3S;ACT;PST+PRF;PFV;IND
უარყოფს	უარყოფდნენ	V;ARGOB3;ARGSU3P;IPFV;ACT;IND
უბრალო	უბრალოდ	ADV
უგდებს	მივუგდეთ	V;ARGIO3;ARGOB3;ARGSU1P;PST;ACT;PFV;IND
უდაო	უდაოდ	ADV
უდარდელობა	უდარდელობას	N;DAT;INAN;SG
უდგება	უდგებიან	V;ARGIO3;ARGSU3P;ACT;PRS;IND;IPFV
უეცრად	უეცრად	ADV
უზენაესობა	უზენაესობის	N;GEN;INAN;SG
უკანასკნელი	უკანასკნელი	ADJ;NOM;SG
უკვე	უკვე	ADV
უკმაყოფილება	უკმაყოფილებას	N;DAT;INAN;SG
უმოქმედობა	უმოქმედობა	N;NOM;INAN;SG
უნდა	უნდა	V;ARGOB3;ARGSU3S;PRS;IND
უნდა	მინდა	V;ARGOB3;ARGSU1S;PRS;IND
უნდა	მინდოდა	V;ARGOB3;ARGSU1S;IPFV;IND
უნივერსალური	უნივერსალურ	ADJ;GEN;SG
უნივერსიტეტი	უნივერსიტეტი	N;NOM;INAN;SG
უნივერსიტეტი	უნივერსიტეტ	N;DAT;INAN;SG
უნივერსიტეტი	უნივერსიტეტის	N;GEN;INAN;SG
უპირატესობა	უპირატესობას	N;DAT;INAN;SG
უპირველესი	უპირველეს	ADJ;GEN;SG
ურბის	გაურბოდნენ	V;ARGSU3P;ACT;IPFV;IND;IPFV
ურთიერთგაგება	ურთიერთგაგების	N;GEN;INAN;SG
ურთიერთობა	ურთიერთობა	N;NOM;INAN;SG
უსაფრთხოება	უსაფრთხოების	N;GEN;INAN;SG
უფლება	უფლება	N;NOM;INAN;SG
უფლება	უფლებათა	N;PL;GEN;INAN
უფლება	უფლებების	N;PL;GEN;INAN
უფლებადაცვითი	უფლებადაცვითი	ADJ;NOM;SG
უფრთხილდება	გავუფრთხილდე	V;ARGIO3;ARGSU1S;PST;ACT;PFV;IND
უფრო	უფრო	ADV
უფროსი	უფროსი	ADJ;NOM;SG
უფუნქციო	უფუნქციო	ADJ;GEN;SG
უქონელი	უქონელი	ADJ;GEN;SG
უყურებს	შეჰყურებდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
უცებ	უცებ	ADV
უძლებს	გაუძლოს	V;ARGIO3;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
უძღვნის	მიუძღვის	V;ARGIO3;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
უწყინარი	უწყინარმა	ADJ;ERG;SG
ფანჯარა	ფანჯარა	N;DAT;INAN;SG
ფარგალი	ფარგლებს	N;DAT;PL;INAN
ფასეულობა	ფასეულობის	N;GEN;INAN;SG
ფაქტი	ფაქტს	N;DAT;INAN;SG
ფაქტი	ფაქტების	N;PL;GEN;INAN
ფერი	ფერის	N;GEN;INAN;SG
ფესვი	ფესვი	N;NOM;INAN;SG
ფეხქვეშ	ფეხქვეშ	ADV
ფინანსური	ფინანსური	ADJ;GEN;SG
ფიქრი	ფიქრი	N;NOM;INAN;SG
ფიქრი	ფიქრ	N;DAT;INAN;SG
ფიქრი	ფიქრთა	N;PL;GEN;INAN
ფიქრობს	იფიქროს	V;ARGOB3;ARGSU3S;PST;ACT;IND;IPFV
ფიქრობს	ფიქრობენ	V;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
ფოთოლი	ფოთლები	N;PL;OM;INAN;N
ფონდი	ფონდების	N;PL;GEN;INAN
ფონი	ფონ	N;DAT;INAN;SG
ფორმა	ფორმები	N;PL;OM;INAN;N
ფორმატი	ფორმატების	N;PL;GEN;INAN
ფორმაცია	ფორმაციის	N;GEN;INAN;SG
ფორმაცია	ფორმაციისა	N;GEN;INAN;SG
ფორმაცია	ფორმაცია	N;NOM;INAN;SG
ფრაზეოლოგია	ფრაზეოლოგიას	N;DAT;INAN;SG
ფუნქციონირება	ფუნქციონირებით	N;INS;INAN;SG
ფშაველა	ფშაველა	N;SG;OM;PROPN
ქალაქი	ქალაქის	N;GEN;INAN;SG
ქალი	ქალი	N;NOM;ANIM;SG
ქალი	ქალმა	N;ERG;ANIM;SG
ქალი	ქალები	N;NOM;PL;ANIM
ქართველი	ქართველ	ADJ;DAT;SG
ქართველი	ქართველი	N;NOM;INAN;SG
ქართული	ქართული	ADJ;GEN;SG
ქართული	ქართულ	ADJ;DAT;SG
ქარი	ქარისა	N;GEN;INAN;SG
ქვემოთ	ქვემოთ	ADV
ქვეყანა	ქვეყნად	N;FRML;INAN;SG
ქვეყანა	ქვეყანას	N;DAT;INAN;SG
ქვეყანა	ქვეყანა	N;DAT;INAN;SG
ქვეყანა	ქვეყნის	N;GEN;INAN;SG
ქვეშ	ქვეშ	ADV
ქმნის	ქმნის	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ქმნის	ქმნიდნენ	V;ARGOB3;ARGSU3P;IPFV;ACT;IND;IPFV
ქულა	ქულებს	N;DAT;PL;INAN
ქულა	ქულა	N;NOM;INAN;SG
ღალატი	ღალატისა	N;GEN;INAN;SG
ღამე	ღამე	N;NOM;INAN;SG
ღებულობს	ღებულობს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ღვინო	ღვინის	N;GEN;INAN;SG
ღვინო	ღვინოს	N;DAT;INAN;SG
ღირსეული	ღირსეული	ADJ;NOM;SG
ღირსშესანიშნაობა	ღირსშესანიშნაობას	N;DAT;INAN;SG
ღონისძიება	ღონისძიება	N;DAT;INAN;SG
ღრმა	ღრმად	ADV
ღრმა	ღრმა	ADJ;DAT;SG
ყვავილობა	ყვავილობა	N;NOM;INAN;SG
ყვანს	მიეყვანა	V;ARGOB3;ARGSU3S;ACT;PST+PRF;PFV;IND
ყვება	მიჰყვება	V;ARGIO1S;ARGSU3S;ACT;PRS;IND;IPFV
ყვება	მოჰყვა	V;ARGSU3S;PST;ACT;PFV;IND
ყველა	ყველას	PRO;DAT;SG
ყველა	ყველა	N;PRO;OM;SG
ყველაფერი	ყველაფერი	N;PRO;OM;SG
ყოველთვის	ყოველთვის	ADV
ყოველი	ყოველი	N;PRO;OM;SG
ყოველი	ყოვლისა	PRO;GEN;SG
ყოველი	ყოველ	PRO;GEN;SG
ყოველი	ყოველივე	PRO;NOM;SG
ყოფილი	ყოფილ	ADJ;DAT;SG
ყურადღება	ყურადღებას	N;DAT;INAN;SG
ყური	ყური	N;NOM;INAN;SG
შანდალი	შანდლებს	N;DAT;PL;INAN
შანიძე	შანიძე	N;SG;OM;PROPN
შანტაჟი	შანტაჟისა	N;GEN;INAN;SG
შარა	შარა	N;DAT;INAN;SG
შარაგზა	შარაგზას	N;DAT;INAN;SG
შარშან	შარშან	ADV
შეგრძნება	შეგრძნებისა	N;GEN;INAN;SG
შედარება	შედარებას	N;DAT;INAN;SG
შედარებითი	შედარებით	ADJ;FRML;SG
შედარებითი	შედარებითი	ADJ;NOM;SG
შედგენა	შედგენას	N;DAT;INAN;SG
შედეგი	შედეგად	N;FRML;INAN;SG
შედეგი	შედეგება	N;FRML;PL;INAN
შედეგი	შედეგები	N;PL;OM;INAN;N
შედეგი	შედეგების	N;PL;GEN;INAN
შეიცავს	შეიცავს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
შეკავება-გაწონასწორება	შეკავება-გაწონასწორების	N;GEN;INAN;SG
შელახვა	შელახვას	N;DAT;INAN;SG
შემდგომი	შემდგომი	ADJ;NOM;SG
შემდგომი	შემდგომ	ADJ;DAT;SG
შემდეგ	შემდეგ	ADV
შემთხვევა	შემთხვევა	N;DAT;INAN;SG
შემთხვევა	შემთხვევებ	N;DAT;PL;INAN
შემოდგომა	შემოდგომით	N;INS;INAN;SG
შემოდის	შემოდიან	V;ARGSU3P;PRS;IND
შემომტანი	შემომტანი	ADJ;NOM;SG
შემოქმედება	შემოქმედების	N;GEN;INAN;SG
შემუშავება	შემუშავებას	N;DAT;INAN;SG
შემფასებელი	შემფასებლის	ADJ;GEN;SG
შემცველი	შემცველი	ADJ;NOM;SG
შენ	შენ	PRO;DAT;SG;2
შენ	შენს	PRO;DAT;SG;2
შესაბამისი	შესაბამისად	ADV
შესაბამისი	შესაბამისი	ADJ;NOM;SG
შესანიშნავი	შესანიშნავი	V;INS;FUT;V.PTCP;IND;SG
შესახებ	შესახებ	ADP;GEN
შესუსტება	შესუსტება	N;NOM;INAN;SG
შესწავლა	შესწავლას	N;DAT;INAN;SG
შესწავლილი	შესწავლილი	ADJ;NOM;SG
შეუძლია	შეიძლება	V;ARGSU3S;ACT;PRS;IND;IPFV
შეუძლია	შეიძლებოდა	V;ARGSU3S;PST;IND
შეფასება	შეფასება	N;NOM;INAN;SG
შეფასება	შეფასებასაც	N;DAT;INAN;SG
შეფასება	შეფასების	N;GEN;INAN;SG
შეფასება	შეფასებას	N;DAT;INAN;SG
შექმნილი	შექმნილი	ADJ;NOM;SG
შეშფოთება	შეშფოთებით	N;INS;INAN;SG
შეცვლა	შეცვლის	N;GEN;INAN;SG
შეხედვა	შეხედვით	N;INS;INAN;SG
შეხედულება	შეხედულება	N;NOM;INAN;SG
შვიდი	მეშვიდე	N;DAT;UM;SG
შთაგონება	შთაგონება	N;NOM;INAN;SG
ში	ში	DAT;ADP
შინაგანი	შინაგან	ADJ;DAT;SG
შორი	უშორესი	ADJ;INS;RL;SG
შორის	შორის	DAT;ADP
შრომითი	შრომითი	ADJ;GEN;SG
ჩანს	ჩანს	V;ARGSU3S;ACT;PRS;IND;IPFV
ჩართულობა	ჩართულობის	N;GEN;INAN;SG
ჩასატვირთ-გადმოსატვირთი	ჩასატვირთ-გადმოსატვირთი	ADJ;INS;SG
ჩემი	ჩემი	PRO;NOM;1;SG
ჩემი	ჩემს	PRO;DAT;1;SG
ჩემი	ჩემა	PRO;FRML;1;SG
ჩერდება	ჩერდება	V;ARGSU3S;ACT;PRS;IND;IPFV
ჩერდება	გაჩერდა	V;ARGSU3S;PST;ACT;PFV;IND
ჩერდება	შევჩერდით	V;ARGSU1P;PST;ACT;PFV;IND
ჩვენ	ჩვენა	PRO;FRML;1;PL
ჩვენ	ჩვენც	PRO;1;ERG;PL
ჩვენ	ჩვენს	PRO;DAT;1;PL
ჩვენ	ჩვენ	PRO;1;PL;GEN
ჩვენი	ჩვენმა	PRO;1;ERG;PL
ჩვენი	ჩვენი	PRO;NOM;1;PL
ჩვეულებრივი	ჩვეულებრივ	ADJ;DAT;SG
ჩვეულებრივი	ჩვეულებრივი	ADJ;GEN;SG
ჩიტაია	ჩიტაიამ	PRO;SG;ERG;PN
ჩიჩინი	ჩიჩინმა	N;ERG;INAN;SG
ჩნდება	გააჩნდა	V;ARGSU3S;PST;ACT;PFV;IND
ჩუმი	ჩუმად	ADV
ცა	ცას	N;DAT;INAN;SG
ცავს	მოიცავს	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
ცვივა	ცვივა	V;ARGOB3;ARGSU3S;PRS;IND
ცვლილება	ცვლილებაცა	N;NOM;INAN;SG
ცვლილება	ცვლილებების	N;PL;GEN;INAN
ცვლის	გამოიცვალა	V;ARGOB3;ARGSU3S;PST;ACT;PFV;IND
ცნობილი	ცნობილი	ADJ;NOM;SG
ცოდნა	ცოდნისა	N;GEN;INAN;SG
ცოდნა	ცოდნა	N;NOM;INAN;SG
ცოტა	ცოტა	N;NOM;UM;SG
ცოტაოდენი	ცოტაოდნად	ADJ;FRML;SG
ცულგადებული	ცულგადებული	ADJ;NOM;SG
ცქერს	დასცქერენ	V;ARGOB3;ARGSU3P;FUT;ACT;PFV;IND
ცხადი	ცხადი	ADJ;NOM;SG
ცხოველდება	გაცხოველდა	V;ARGSU3S;PST;ACT;PFV;IND
ცხოვრება	ცხოვრება	N;NOM;INAN;SG
ძალა	ძალა	N;NOM;INAN;SG
ძალა	ძალებით	N;INS;PL;INAN
ძალა	ძალების	N;PL;GEN;INAN
ძალა	ძალები	N;PL;OM;INAN;N
ძალადობა	ძალადობის	N;GEN;INAN;SG
ძალაუნებურად	ძალაუნებურად	ADV
ძველი	ძველი	ADJ;NOM;SG
ძველი	უძველეს	ADJ;DAT;RL;SG
ძვირფასი	ძვირფასი	ADJ;NOM;SG
ძვირფასი	ძვირფას	ADJ;DAT;SG
ძია	ძია	N;NOM;ANIM;SG
ძირეული	ძირეული	ADJ;GEN;SG
ძირითადად	ძირითადად	ADV
ძირითადი	ძირითადი	ADJ;NOM;SG
ძლიერი	ძლიერ	ADJ;DAT;SG
წაკითხული	წაკითხულის	ADJ;GEN;SG
წამება	წამებისა	N;GEN;INAN;SG
წარდგენა	წარდგენა	N;NOM;INAN;SG
წარმოებს	წარმოებს	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
წარმოიდგინება	წარმოიდგინა	V;ARGSU3S;PST;ACT;PFV;IND
წარმომადგენელი	წარმომადგენელი	N;NOM;ANIM;SG
წარმომადგენელი	წარმომადგენლები	N;NOM;PL;ANIM
წარმომადგენელი	წარმომადგენელთა	N;PL;GEN;ANIM
წარმოუდგენელი	წარმოუდგენლად	ADJ;FRML;SG
წარსული	წარსულისა	N;GEN;INAN;SG
წარსული	წარსულის	N;GEN;INAN;SG
წევს	შესწევდა	V;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
წელი	წლითა	N;INS;INAN;SG
წელი	წლი	N;INS;INAN;SG
წელი	წლებ	N;DAT;PL;INAN
წელი	წლის	N;GEN;INAN;SG
წელიწადი	წელიწად	N;DAT;INAN;SG
წერილი	წერილი	N;NOM;INAN;SG
წერილობითი	წერილობითი	ADJ;NOM;SG
წერს	აღწერს	V;ARGIO3;ARGOB3;ARGSU3S;FUT;ACT;PFV;IND
წერს	წერენ	V;ARGIO3;ARGOB3;ARGSU3P;ACT;PRS;IND;IPFV
წერს	წერს	V;ARGIO3;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
წესი	წესით	N;INS;INAN;SG
წესი	წესის	N;GEN;INAN;SG
წვლილი	წვლილი	N;NOM;INAN;SG
წიგნი	წიგნი	N;NOM;INAN;SG
წიგნი	წიგნის	N;GEN;INAN;SG
წილი	წილი	N;NOM;INAN;SG
წილი	წილ	N;DAT;INAN;SG
წინა	წინა	ADJ;DAT;SG
წინამძღოლი	წინამძღოლთა	N;PL;GEN;ANIM
წინანდალი	წინანდლისა	PRO;SG;GEN;PN
წინანდალი	წინანდალი	N;SG;OM;PROPN
წინასწარ	წინასწარ	ADV
წრე	წრეები	N;INS;PL;INAN
წუხელ	წუხელ	ADV
წყალი	წყალი	N;NOM;INAN;SG
წყარო	წყარო	N;NOM;INAN;SG
წყდება	გადაწყდეს	V;ARGSU3S;PST;ACT;PFV;IND
ჭავჭავაძე	ჭავჭავაძე	N;SG;OM;PROPN
ჭავჭავაძე	ჭავჭავაძის	PRO;SG;GEN;PN
ჭირდება	დამჭირდება	V;ARGIO1S;ARGSU3S;FUT;ACT;PFV;IND
ჭირდება	ჭირდებოდა	V;ARGSU3S;ACT;IPFV;IND;IPFV
ჭირისუფალი	ჭირისუფალ	N;DAT;ANIM;SG
ჭიქა	ჭიქა	N;NOM;INAN;SG
ჭრის	მჭრის	V;ARGOB1S;ARGSU3S;ACT;PRS;IND;IPFV
ჭყავის	ჭყავიან	V;ARGSU3P;ACT;PRS;IND;IPFV
ხაზი	ხაზ	N;DAT;INAN;SG
ხალხი	ხალხს	N;DAT;ANIM;SG
ხალხი	ხალხის	N;GEN;ANIM;SG
ხალხი	ხალხების	N;PL;GEN;ANIM
ხალხი	ხალხთა	N;PL;GEN;ANIM
ხალხი	ხალხებს	N;DAT;PL;ANIM
ხანი	ხანი	N;INS;INAN;SG
ხარვეზი	ხარვეზებსაც	N;DAT;PL;INAN
ხარისხი	ხარისხს	N;DAT;INAN;SG
ხარჯი	ხარჯების	N;PL;GEN;INAN
ხატოვანი	ხატოვნად	ADV
ხდება	გამხდარიყო	V;ARGSU3S;ACT;PST+PRF;PFV;IND
ხდება	ხდებოდა	V;ARGSU3S;ACT;IPFV;IND;IPFV
ხდება	ხდება	V;ARGSU3S;ACT;PRS;IND;IPFV
ხდება	გახდა	V;ARGSU3S;PST;ACT;PFV;IND
ხდის	ხდის	V;ARGOB3;ARGSU3S;ACT;PRS;IND;IPFV
ხედავს	დაინახა	V;ARGOB3;ARGSU2S;PST;ACT;IND
ხედავს	ვხედავთ	V;ARGOB3;ARGSU1P;ACT;PRS;IND
ხელი	ხელ	N;DAT;INAN;SG
ხელისუფლება	ხელისუფლებისა	N;GEN;INAN;SG
ხელისუფლება	ხელისუფლების	N;GEN;ANIM;SG
ხელისუფლება	ხელისუფლებას	N;DAT;ANIM;SG
ხელმეორე	ხელმეორედ	ADV
ხელმისაწვდომობა	ხელმისაწვდომობის	N;GEN;INAN;SG
ხელმძღვანელი	ხელმძღვანელი	N;NOM;ANIM;SG
ხელნაწერი	ხელნაწერი	N;NOM;INAN;SG
ხელნაწერი	ხელნაწერებს	N;DAT;PL;INAN
ხელოვნება	ხელოვნების	N;GEN;INAN;SG
ხელოვნება	ხელოვნება	N;DAT;INAN;SG
ხელფასი	ხელფასის	N;GEN;INAN;SG
ხელშემწყობი	ხელშემწყობი	ADJ;GEN;SG
ხერხი	ხერხები	N;PL;OM;INAN;N
ხვდება	ხვდებიან	V;ARGSU3P;ACT;PRS;IND;IPFV
ხვდება	გვხვდებოდა	V;ARGIO1P;ARGSU3S;FUT;ACT;IND;IPFV
ხიდი	ხიდის	N;GEN;INAN;SG
ხმა	ხმები	N;PL;OM;INAN;N
ხმაურა	ხმაური	N;NOM;INAN;SG
ხომ	ხომ	PART
ხუროთმოძღვრება	ხუროთმოძღვრება	N;NOM;INAN;SG
ხშირად	ხშირად	ADV
ჯარისკაცი	ჯარისკაცები	N;NOM;PL;ANIM
ჯერ	ჯერ	ADV
ჯეროვანი	ჯეროვანი	ADJ;GEN;SG
ჯერჯერობით	ჯერჯერობით	ADV
ჰარმონია	ჰარმონიას	N;DAT;INAN;SG
